,text,label,preprocessed_text
919,"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",positive,cannot explain movie romantic charming hilarious and adorable the junkyard scene be funny all junkyard dog have something special too funny laugh kid love it buy come out it have new feature
246,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,positive,phone be very fast send any kind of message web browsing be significantly faster previous phone have use
2690,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,negative,watch wash machine twirl around would not hurt eye much show
1042,I love the Pho and the spring rolls oh so yummy you have to try.,positive,love pho spring roll oh yummy have try
450,The RI style calamari was a joke.,negative,ri style calamari be joke
1758,"I went on Motorola's website and followed all directions, but could not get it to pair again.",negative,go motorola s website follow direction could not get pair again
1062,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative,have not roll eye may have stay not sure go back try again
1366,"Nice, spicy and tender.",positive,nice spicy tender
2562,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",negative,every element of story be top excessively phony contrive be painful sit through
1333,I'm not impressed with the concept or the food.,negative,be not impressed concept food
478,I love the look and feel of Samsung flipphones.,positive,love look feel of samsung flipphones
830,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",negative,consider relation screen taylor stanwyck be surprising little chemistry be screen two of them
2346,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",negative,manage bend leaf spring back place metal have enough stress break next drop
1251,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,negative,movie seem drag hero do not really work freedom
691,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,positive,make drive way north scottsdale be not one bit disappointed
1706,I great reception all the time.,positive,great reception time
456,"The burger is good beef, cooked just right.",positive,burger be good beef cook right
93,"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",negative,know be contract player little control script act be bad script
1539,Battery is terrible.,negative,battery be terrible
275,Worst martini ever!,negative,bad martini ever
355,"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",negative,could not understand kind of idiot would produce mess first place not mention several season
749,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",negative,be warn you do not rent movie be dumb thing have never see
2364,There were too many close ups.  ,negative,be too many close ups
1204,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",negative,ambiance do not feel like buffet setting of douchey indoor garden tea biscuit
2731,"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",positive,saw child tv back one thousand nine hundred seventy three be the stranger love it
1135,"Cute, quaint, simple, honest.",positive,cute quaint simple honest
